MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2014 to May 2014


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,29,1.7419,2.1128,1.2565,16.21,38.50,2.8268,3.8925
,,30,1.7347,2.1143,1.2565,16.21,38.46,2.8223,3.8889
,May,02,1.7366,2.1155,1.2529,16.16,38.33,2.8119,3.8670
,,05,1.7357,2.1106,1.2509,16.13,38.40,2.8173,3.8692
,,06,1.7360,2.1114,1.2506,16.13,38.39,2.8192,3.8623
,,07,1.7380,2.1187,1.2479,16.10,38.41,2.8157,3.8539
,,08,1.7392,2.1183,1.2496,16.12,38.45,2.8259,3.8514
,,09,1.7267,2.1117,1.2476,16.09,38.67,2.8510,3.8305
,,12,1.7193,2.1066,1.2496,16.12,38.63,2.8543,3.8302
,,14,1.7156,2.1079,1.2507,16.13,38.79,2.8679,3.8483
,,15,1.7161,2.0983,1.2507,16.13,38.77,2.8614,3.8548
,,16,1.7174,2.1022,1.2520,16.15,38.74,2.8617,3.8541
,,19,1.7142,2.1042,1.2508,16.14,38.88,2.8680,3.8486
,,20,1.7151,2.1037,1.2508,16.13,38.92,2.8619,3.8498
,,21,1.7169,2.1097,1.2530,16.16,38.90,2.8622,3.8477
,,22,1.7098,2.1121,1.2506,16.13,39.01,2.8615,3.8593
,,23,1.7089,2.1121,1.2522,16.15,39.03,2.8712,3.8511

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."
