MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,26,2.0307,2.9241,1.7191,22.13,45.24,3.0958,4.3091
,,27,2.0531,2.9447,1.7223,22.17,45.32,3.0885,4.3149
,,28,2.0566,2.9587,1.726,22.22,45.42,3.098,4.3236
,Dec,1,2.0725,2.9722,1.7233,22.2,45.35,3.1009,4.3153
,,2,2.0634,2.9622,1.722,22.18,45.32,3.102,4.3158
,,3,2.0774,2.9728,1.7191,22.15,45.24,3.1025,4.3085
,,4,2.0713,2.9586,1.7163,22.1,45.17,3.1031,4.3015
,,5,2.0748,2.9571,1.717,22.11,45.18,3.1015,4.3049
,,8,2.0818,2.9601,1.7123,22.06,45.06,3.0934,4.2936
,,9,2.0903,2.9655,1.7104,22.02,45.01,3.0926,4.2909
,,10,2.0941,2.9882,1.713,22.07,45.08,3.0954,4.3051
,,11,2.091,2.9833,1.7143,22.08,45.11,3.0933,4.31
,,12,2.0904,2.9877,1.711,22.04,45.03,3.0857,4.3125
,,15,2.0855,2.9774,1.7088,22.01,44.97,3.0806,4.3103
,,16,2.1038,2.984,1.7078,22,44.94,3.076,4.3072
,,17,2.1071,2.9978,1.709,22.01,44.97,3.0798,4.307
,,18,2.1191,3.0174,1.7083,22,44.96,3.0862,4.3079
,,19,2.1195,3.0213,1.7077,21.99,44.94,3.0842,4.3086
,,22,2.1162,3.017,1.7087,22.01,44.97,3.0801,4.3105
,,23,2.1176,3.0125,1.7075,21.99,44.93,3.0737,4.3081
,,24,2.1192,3.0137,1.7083,22,44.96,3.0764,4.3128
,,26,2.1227,3.0214,1.7029,21.93,44.81,3.0683,4.3041
,,29,2.1225,3.026,1.7053,21.96,44.88,3.0676,4.3079
,,30,2.1256,3.0184,1.7012,21.91,44.77,3.0616,4.2954
,,31,2.1388,3.0294,1.7008,21.91,44.76,3.0628,4.2944
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2004,Jan,2,2.135,3.0262,1.6995,21.89,44.72,3.06,4.2868
,,5,2.1518,3.0529,1.6999,21.89,44.73,3.067,4.3194
,,6,2.1551,3.0705,1.6991,21.89,44.71,3.0805,4.3339
,,7,2.1583,3.0888,1.6973,21.86,44.67,3.0776,4.3454
,,8,2.1384,3.0804,1.6975,21.87,44.67,3.0685,4.3503
,,9,2.1631,3.107,1.6946,21.83,44.59,3.068,4.3468
,,12,2.1724,3.1247,1.6917,21.79,44.52,3.0616,4.3444
,,13,2.1618,3.1316,1.6945,21.83,44.59,3.0625,4.365
,,14,2.1566,3.1253,1.6934,21.81,44.56,3.0578,4.3515
,,15,2.1449,3.108,1.695,21.83,44.61,3.0532,4.3445
,,16,2.1401,3.1005,1.6994,21.89,44.72,3.0612,4.3546
,,19,2.1138,3.0727,1.7081,22,44.95,3.0698,4.3747
,,20,2.1205,3.059,1.7125,22.05,45.07,3.0751,4.3837
,,21,2.1401,3.0921,1.7025,21.91,44.8,3.0656,4.3631
,,26,2.1329,3.0974,1.6965,21.84,44.64,3.0422,4.3217
,,27,2.1156,3.0784,1.697,21.85,44.66,3.0418,4.3219
,,28,2.1394,3.0968,1.6959,21.84,44.63,3.0347,4.3317
,,29,2.1186,3.0917,1.6995,21.87,44.72,3.0258,4.3348
,,30,2.1119,3.0911,1.702,21.89,44.79,3.0378,4.3324
,Feb,3,2.113,3.0907,1.6953,21.8,44.61,3.0195,4.322
,,4,2.1194,3.1078,1.6939,21.79,44.58,3.0175,4.3343
,,5,2.1216,3.1007,1.6936,21.78,44.57,3.0152,4.3369
,,6,2.1298,3.1123,1.696,21.82,44.63,3.0313,4.3393
,,9,2.1449,3.1258,1.6871,21.71,44.4,3.0185,4.3204
,,10,2.1435,3.1377,1.6828,21.66,44.28,3.0096,4.3138
,,11,2.1251,3.1308,1.674,21.54,44.05,2.9962,4.2984
,,12,2.1471,3.1639,1.6719,21.52,44,2.9874,4.3017
,,13,2.1441,3.1666,1.674,21.54,44.05,2.9848,4.2995
,,16,2.1316,3.1538,1.6741,21.54,44.06,2.986,4.3003
,,17,2.1417,3.1695,1.6771,21.58,44.13,2.9886,4.2964
,,18,2.1532,3.196,1.675,21.56,44.08,2.9863,4.2905
,,19,2.1361,3.1777,1.6789,21.6,44.18,2.9882,4.2944
,,20,2.1441,3.1928,1.6823,21.64,44.27,2.9873,4.3008
,,23,2.1231,3.1525,1.6977,21.83,44.68,3.022,4.3226
,,24,2.1256,3.1615,1.6965,21.82,44.64,3.0171,4.3223
,,25,2.1438,3.1945,1.6884,21.7,44.43,3.0053,4.3104
,,26,2.1197,3.1817,1.6946,21.78,44.59,3.0114,4.318
,,27,2.12,3.1742,1.7032,21.88,44.82,3.0239,4.3294
,Mar,1,2.1257,3.1805,1.6985,21.82,44.7,3.0171,4.3279
,,2,2.118,3.1797,1.7028,21.88,44.81,3.0267,4.3372
,,3,2.0822,3.1383,1.7088,21.94,44.97,3.0389,4.3376
,,4,2.0792,3.1217,1.7087,21.93,44.97,3.0404,4.3269
,,5,2.0941,3.1284,1.7163,22.03,45.17,3.0477,4.3379
,,8,2.1184,3.1623,1.7129,21.99,45.08,3.0412,4.3315
,,9,2.1161,3.1582,1.7009,21.83,44.76,3.0307,4.3262
,,10,2.1047,3.1231,1.7087,21.93,44.97,3.0422,4.3385
,,11,2.0886,3.0806,1.7129,21.98,45.08,3.0441,4.3475
,,12,2.1001,3.0769,1.7095,21.93,44.99,3.0377,4.3387
,,15,2.0937,3.0854,1.713,21.98,45.08,3.0432,4.3428
,,16,2.0941,3.0787,1.707,21.91,44.92,3.0335,4.3221
,,17,2.0905,3.0929,1.7016,21.84,44.78,3.0256,4.3182
,,18,2.0765,3.0894,1.6921,21.72,44.53,3.0076,4.2892
,,19,2.097,3.1058,1.6933,21.73,44.56,3.0062,4.2972
,,22,2.0747,3.1033,1.6954,21.75,44.61,3.0062,4.292
,,23,2.0849,3.1198,1.6886,21.66,44.44,2.9928,4.2786
,,24,2.0809,3.1224,1.6885,21.66,44.43,2.9952,4.2751
,,25,2.0518,3.0864,1.6914,21.7,44.51,2.9991,4.2776
,,26,2.0524,3.0614,1.6905,21.68,44.49,2.9968,4.2727
,,29,2.0416,3.0595,1.6895,21.67,44.46,2.9956,4.2744
,,30,2.0521,3.0676,1.6844,21.61,44.33,2.9892,4.26
,,31,2.0553,3.0778,1.679,21.54,44.18,2.9859,4.2521
,Apr,1,2.0574,3.0851,1.6753,21.5,44.09,2.982,4.2688
,,2,2.0673,3.101,1.672,21.47,44,2.9723,4.2691
,,5,2.0301,3.0656,1.6772,21.54,44.14,2.9782,4.2861
,,6,2.0174,3.063,1.6828,21.59,44.28,2.9865,4.2977
,,7,2.0294,3.0906,1.6791,21.54,44.19,2.9837,4.2894
,,8,2.0424,3.086,1.6755,21.49,44.09,2.9853,4.2868
,,12,2.0144,3.0593,1.6691,21.41,43.92,2.9713,4.2628
,,13,2.0069,3.0614,1.6631,21.34,43.77,2.9746,4.254
,,14,1.9948,3.0339,1.6726,21.45,44.02,3.0026,4.2619
,,15,2.0095,3.0024,1.6846,21.6,44.33,3.0136,4.2428
,,16,2.0146,3.0057,1.6813,21.56,44.24,3.0144,4.257
,,19,2.0191,3.0265,1.6776,21.51,44.15,3.0113,4.2671
,,20,2.0076,3.0245,1.6783,21.52,44.17,3.0131,4.2602
,,21,1.9974,3.009,1.6885,21.65,44.43,3.0314,4.2747
,,22,2.008,3.0052,1.6945,21.73,44.59,3.0353,4.2784
,,23,2.0209,3.0098,1.6987,21.78,44.7,3.0467,4.288
,,26,2.0026,3.0121,1.7003,21.8,44.74,3.0543,4.3012
,,27,2.0085,3.03,1.696,21.75,44.63,3.052,4.2828
,,28,2.0206,3.0375,1.6944,21.72,44.59,3.0421,4.2632
,,29,2.0112,3.0086,1.6998,21.79,44.73,3.0454,4.2634
,,30,2.0399,3.0256,1.7038,21.84,44.84,3.0414,4.259
,May,3,2.0342,3.0169,1.6995,21.79,44.72,3.0441,4.2546
,,4,2.0282,3.0102,1.6972,21.76,44.66,3.0522,4.2483
,,5,2.0515,3.0425,1.6912,21.68,44.5,3.046,4.2379
,,6,2.0488,3.022,1.6867,21.63,44.39,3.0321,4.2395
,,7,2.0389,3.0316,1.6917,21.69,44.52,3.0347,4.234
,,10,2.0267,3.0501,1.7119,21.95,45.05,3.0737,4.2432
,,11,2.0429,3.0573,1.7211,22.07,45.29,3.0753,4.2392
,,12,2.0312,3.0126,1.713,21.96,45.08,3.0674,4.2281
,,13,2.0484,3.0428,1.719,22.04,45.24,3.0727,4.2314
,,14,2.0425,3.0433,1.7291,22.17,45.5,3.0891,4.2287
,,17,2.0583,3.038,1.7201,22.05,45.27,3.0788,4.2164
,,18,2.0719,3.0456,1.7261,22.13,45.42,3.0849,4.2198
,,19,2.0574,3.0452,1.7202,22.06,45.27,3.0835,4.2245
,,20,2.0561,3.0525,1.7152,22.01,45.14,3.0718,4.2148
,,21,2.0556,3.0519,1.7168,22.03,45.18,3.072,4.2094
,,24,2.0533,3.0668,1.7174,22.03,45.19,3.0731,4.2134
,,25,2.0666,3.0816,1.7197,22.06,45.26,3.0734,4.2134
,,26,2.0707,3.0996,1.7127,21.97,45.07,3.0602,4.204
,,27,2.0725,3.1049,1.7066,21.9,44.91,3.0508,4.189
,,28,2.0846,3.1213,1.6992,21.8,44.72,3.0431,4.1878
,,31,2.0726,3.1164,1.6981,21.79,44.69,3.0418,4.1913
,Jun,1,2.0741,3.1177,1.7011,21.82,44.77,3.0551,4.1889
,,3,2.0761,3.1212,1.7043,21.86,44.85,3.0535,4.1947
,,4,2.0882,3.144,1.7097,21.93,44.99,3.0585,4.1997
,,7,2.1041,3.1502,1.7059,21.88,44.89,3.0566,4.2038
,,8,2.0971,3.1348,1.7045,21.87,44.86,3.0566,4.2009
,,9,2.085,3.1282,1.705,21.87,44.87,3.0605,4.2047
,,10,2.0642,3.1304,1.7127,21.97,45.07,3.0717,4.2137
,,11,2.0667,3.1502,1.7145,21.99,45.12,3.0707,4.2181
,,14,2.0625,3.1265,1.7228,22.1,45.34,3.0815,4.2205
,,15,2.0761,3.1176,1.7183,22.04,45.22,3.0674,4.1976
,,16,2.0805,3.1394,1.7134,21.97,45.09,3.0526,4.1898
,,17,2.0619,3.134,1.717,22.02,45.18,3.0459,4.1904
,,18,2.0626,3.1474,1.7189,22.04,45.23,3.0486,4.2022
,,21,2.0807,3.1543,1.716,22.01,45.16,3.0488,4.1966
,,22,2.0869,3.1516,1.7214,22.07,45.3,3.0614,4.2001
,,23,2.0851,3.1317,1.718,22.03,45.21,3.0541,4.1938
,,24,2.0706,3.1109,1.7156,22,45.15,3.0606,4.19
,,25,2.0724,3.1086,1.7052,21.87,44.87,3.0412,4.1809
,,28,2.0765,3.113,1.7065,21.88,44.91,3.0386,4.1698
,,29,2.0847,3.1275,1.7111,21.94,45.03,3.0466,4.1852
,,30,2.0747,3.1038,1.7163,22.01,45.16,3.0555,4.1926
,Jul,1,2.0869,3.118,1.7167,22.01,45.18,3.0623,4.2061
,,2,2.0914,3.1271,1.7176,22.02,45.2,3.0695,4.2057
,,5,2.109,3.1404,1.7125,21.96,45.06,3.0655,4.2049
,,6,2.1113,3.1442,1.7167,22.01,45.18,3.0694,4.204
,,7,2.1094,3.1595,1.7138,21.97,45.1,3.0625,4.1979
,,8,2.1098,3.1649,1.7073,21.89,44.93,3.0528,4.1851
,,9,2.1139,3.1592,1.7041,21.85,44.84,3.0509,4.1772
,,12,2.1062,3.1549,1.6992,21.79,44.71,3.0497,4.1738
,,13,2.1041,3.1605,1.7006,21.8,44.75,3.0463,4.1748
,,14,2.0997,3.161,1.7015,21.82,44.78,3.0485,4.1739
,,15,2.1125,3.1637,1.7069,21.88,44.92,3.0505,4.1795
,,16,2.1096,3.1603,1.7058,21.87,44.89,3.0454,4.1742
,,19,2.1165,3.1855,1.6994,21.79,44.72,3.0397,4.1686
,,20,2.1161,3.1766,1.7023,21.82,44.8,3.0443,4.1723
,,21,2.1016,3.159,1.7065,21.88,44.91,3.0521,4.1759
,,22,2.1056,3.1586,1.7163,22,45.17,3.0637,4.1881
,,23,2.1044,3.1678,1.7191,22.04,45.24,3.0671,4.1908
,,26,2.0903,3.1639,1.723,22.09,45.34,3.0739,4.1881
,,27,2.091,3.1746,1.7221,22.08,45.32,3.0711,4.1773
,,28,2.0816,3.1468,1.7246,22.11,45.38,3.0791,4.1632
,,29,2.0802,3.1462,1.7248,22.11,45.39,3.0803,4.1652
,,30,2.077,3.1343,1.7243,22.11,45.38,3.0801,4.168
,Aug,2,2.0696,3.1268,1.7157,22,45.15,3.072,4.1552
,,3,2.0657,3.1377,1.7176,22.02,45.2,3.0775,4.1552
,,4,2.0711,3.1354,1.7216,22.07,45.3,3.0807,4.1558
,,5,2.0743,3.1417,1.7211,22.07,45.29,3.08,4.1511
,,6,2.0796,3.1423,1.7232,22.09,45.35,3.0937,4.1573
,,10,2.1018,3.1537,1.7125,21.96,45.07,3.0754,4.1395
,,11,2.0999,3.1378,1.7165,22.01,45.17,3.0831,4.1351
,,12,2.0948,3.1368,1.712,21.96,45.05,3.0766,4.1238
,,13,2.1007,3.1282,1.718,22.03,45.21,3.0827,4.1353
,,16,2.1228,3.1608,1.7156,22,45.15,3.0826,4.1294
,,17,2.1173,3.1536,1.7133,21.97,45.09,3.0741,4.1263
,,18,2.1168,3.1356,1.7141,21.98,45.11,3.0757,4.1299
,,19,2.114,3.1243,1.7137,21.97,45.1,3.07,4.1293
,,20,2.1142,3.131,1.7082,21.9,44.95,3.0629,4.1236
,,23,2.0965,3.0977,1.7051,21.86,44.87,3.0568,4.1151
,,24,2.0771,3.0899,1.7116,21.94,45.04,3.0611,4.1237
,,25,2.0654,3.0706,1.7112,21.94,45.03,3.0549,4.1247
,,26,2.0685,3.0746,1.7128,21.96,45.07,3.0552,4.1098
,,27,2.0736,3.0784,1.7111,21.94,45.03,3.047,4.1106
,,30,2.0583,3.068,1.7143,21.98,45.11,3.0476,4.1135
,,31,2.0706,3.082,1.713,21.96,45.08,3.0521,4.1132
,Sep,1,2.0826,3.0803,1.7086,21.91,44.96,3.0397,4.1057
,,2,2.0787,3.0586,1.7062,21.87,44.9,3.0352,4.098
,,3,2.0725,3.0499,1.7025,21.83,44.8,3.0345,4.0999
,,6,2.0562,3.0277,1.7044,21.85,44.85,3.0392,4.0961
,,7,2.0551,3.0365,1.7041,21.85,44.84,3.036,4.091
,,8,2.0564,3.0182,1.6989,21.78,44.71,3.0276,4.0794
,,9,2.0713,3.0341,1.6985,21.78,44.7,3.0283,4.0818
,,10,2.0806,3.038,1.6989,21.78,44.71,3.0275,4.0863
,,13,2.0862,3.0565,1.6996,21.79,44.73,3.0266,4.09
,,14,2.0779,3.0461,1.6931,21.71,44.56,3.0129,4.0931
,,15,2.0688,3.0313,1.6907,21.68,44.49,3.0131,4.0952
,,16,2.0529,3.0051,1.6896,21.66,44.46,3.0094,4.094
,,17,2.0591,3.0289,1.6889,21.65,44.44,3.0065,4.0923
,,20,2.0574,3.0269,1.6906,21.67,44.49,3.0072,4.0959
,,21,2.0608,3.0212,1.6922,21.7,44.53,3.004,4.0929
,,22,2.0813,3.0355,1.6887,21.65,44.44,2.9989,4.0899
,,23,2.0809,3.042,1.695,21.73,44.61,3.0073,4.0947
,,24,2.0782,3.0398,1.6919,21.69,44.52,3.0008,4.0882
,,27,2.0758,3.0529,1.6903,21.67,44.48,2.9951,4.075
,,28,2.0834,3.0688,1.6947,21.73,44.6,3.0053,4.0753
,,29,2.0886,3.071,1.6938,21.72,44.57,3.0071,4.0769
,,30,2.0835,3.0406,1.6908,21.68,44.49,3.004,4.0775
,Oct,1,2.0951,3.0516,1.6863,21.63,44.38,2.9971,4.0707
,,4,2.0846,3.0224,1.6865,21.62,44.38,2.9957,4.0706
,,5,2.0683,3.0098,1.6859,21.62,44.37,2.9964,4.0732
,,6,2.0801,3.0132,1.6888,21.66,44.44,3.0004,4.0766
,,7,2.0778,3.0109,1.6907,21.68,44.49,3.0005,4.0828
,,8,2.0737,3.0052,1.6849,21.62,44.34,2.9871,4.0746
,,11,2.0868,3.0187,1.6834,21.6,44.3,2.9868,4.0775
,,12,2.0836,3.0249,1.6849,21.62,44.34,2.9909,4.0757
,,13,2.0736,3.0153,1.6843,21.61,44.32,2.9852,4.0723
,,14,2.0816,3.0229,1.6848,21.62,44.34,2.9852,4.0642
,,15,2.0825,3.0194,1.6807,21.58,44.23,2.9805,4.063
,,18,2.0945,3.0281,1.6782,21.55,44.16,2.9757,4.0458
,,19,2.0931,3.0172,1.6797,21.56,44.2,2.9799,4.0568
,,20,2.0934,3.016,1.6744,21.5,44.06,2.9714,4.0484
,,21,2.1045,3.0376,1.6722,21.48,44.01,2.9698,4.047
,,22,2.1073,3.0543,1.6709,21.45,43.97,2.9667,4.0417
,,25,2.1248,3.0579,1.6629,21.36,43.76,2.9542,4.0357
,,26,2.1335,3.0651,1.6626,21.38,43.75,2.9523,4.0536
,,27,2.1243,3.0569,1.6677,21.43,43.89,2.9575,4.057
,,28,2.1143,3.0454,1.662,21.38,43.74,2.9493,4.0497
,,29,2.1182,3.0444,1.6621,21.37,43.74,2.95,4.0533
,Nov,1,2.1261,3.0548,1.664,21.39,43.79,2.9566,4.05
,,2,2.1218,3.0524,1.6658,21.41,43.84,2.9577,4.0575
,,3,2.1188,3.0636,1.6677,21.43,43.89,2.9578,4.0587
,,4,2.1315,3.0716,1.6626,21.37,43.75,2.9504,4.0467
,,5,2.132,3.0521,1.6542,21.28,43.53,2.9346,4.0409
,,8,2.1421,3.0631,1.6513,21.25,43.46,2.9321,4.0488
,,9,2.1355,3.0644,1.6523,21.25,43.48,2.933,4.0552
,,10,2.1327,3.0681,1.6537,21.26,43.52,2.935,4.0666
,,12,2.1347,3.0517,1.6531,21.25,43.5,2.9344,4.0802
,,16,2.1375,3.052,1.6533,21.26,43.51,2.9345,4.0913
,,17,2.1392,3.0584,1.6509,21.23,43.44,2.9295,4.0925
,,18,2.1454,3.0607,1.6457,21.17,43.31,2.923,4.1075
,,19,2.1395,3.0558,1.6505,21.22,43.43,2.9303,4.1073
,,22,2.1428,3.0543,1.6446,21.16,43.28,2.9222,4.1234
,,23,2.1412,3.0565,1.6473,21.18,43.35,2.9272,4.1301
,,24,2.15,3.0689,1.643,21.13,43.24,2.9169,4.1306
,,25,2.1621,3.0877,1.6412,21.12,43.19,2.9141,4.1396
,,26,2.175,3.1027,1.639,21.08,43.13,2.9146,4.1599
,,29,2.1722,3.0983,1.639,21.08,43.13,2.9177,4.1494
,,30,2.1764,3.1016,1.6417,21.11,43.2,2.9227,4.1494
,Dec,1,2.1751,3.1251,1.635,21.03,43.03,2.9126,4.1534
,,2,2.1817,3.1576,1.6324,21,42.96,2.9107,4.1635
,,3,2.1842,3.1607,1.6441,21.15,43.27,2.9333,4.1744
,,6,2.1967,3.1724,1.6333,21.02,42.98,2.9158,4.1944
,,7,2.1934,3.173,1.6345,21.03,43.01,2.9151,4.175
,,8,2.1993,3.1875,1.6421,21.13,43.21,2.931,4.189
,,9,2.1886,3.1751,1.6457,21.18,43.31,2.9296,4.1753
,,10,2.1949,3.1756,1.6574,21.31,43.61,2.9406,4.1773
,,13,2.1925,3.168,1.6511,21.24,43.45,2.9324,4.1705
,,14,2.1902,3.1642,1.6473,21.18,43.35,2.9254,4.1831
,,15,2.194,3.1773,1.6499,21.22,43.42,2.9299,4.1685
,,16,2.2013,3.1872,1.6413,21.11,43.19,2.9171,4.1849
,,17,2.1806,3.1798,1.6455,21.16,43.3,2.9243,4.1918
,,20,2.1918,3.1908,1.645,21.14,43.29,2.9271,4.2013
,,21,2.1986,3.1936,1.6414,21.1,43.19,2.9243,4.2049
,,22,2.1918,3.1645,1.6409,21.09,43.18,2.9231,4.203
,,23,2.2033,3.1478,1.6402,21.08,43.16,2.9234,4.2013
,,24,2.2158,3.1533,1.6408,21.08,43.18,2.9232,4.2045
,,27,2.2234,3.1604,1.6428,21.11,43.23,2.9296,4.2005
,,28,2.2253,3.1621,1.6361,21.02,43.05,2.9065,4.1912
,,29,2.2229,3.1547,1.6365,21.05,43.07,2.9042,4.19
,,30,2.2293,3.1459,1.6369,21.05,43.08,2.9113,4.1923
,,31,2.2243,3.1455,1.6338,21.02,42.99,2.911,4.1978
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2005,Jan,3,2.1979,3.1167,1.6391,21.08,43.13,2.9155,4.1969
,,4,2.2068,3.1217,1.6363,21.03,43.06,2.9147,4.2026
,,5,2.1851,3.1017,1.6473,21.15,43.35,2.9296,4.205
,,6,2.185,3.1049,1.6475,21.15,43.36,2.9311,4.2098
,,7,2.1719,3.0914,1.6464,21.13,43.33,2.9281,4.1993
,,10,2.1575,3.0905,1.6483,21.15,43.38,2.935,4.2016
,,11,2.1549,3.0865,1.6413,21.06,43.19,2.9279,4.1993
,,12,2.1509,3.0786,1.6401,21.04,43.16,2.9271,4.2086
,,13,2.1639,3.0855,1.6327,20.96,42.97,2.9316,4.2058
,,14,2.1463,3.0629,1.6348,20.97,43.02,2.9368,4.2203
,,17,2.1439,3.0598,1.6343,20.96,43.02,2.9415,4.2345
,,18,2.1357,3.0448,1.6376,21,43.09,2.9428,4.2535
,,19,2.1274,3.0481,1.6326,20.94,42.96,2.9369,4.2477
,,20,2.1268,3.0615,1.6345,20.96,43.01,2.9461,4.2433
,,24,2.1319,3.0658,1.6339,20.95,43,2.949,4.2443
,,25,2.1267,3.0677,1.6325,20.93,42.96,2.9506,4.2441
,,26,2.1255,3.0575,1.6362,20.98,43.06,2.9558,4.2444
,,27,2.135,3.0754,1.6338,20.95,42.99,2.9606,4.242
,,28,2.1281,3.0828,1.6335,20.95,42.99,2.9614,4.2462
,,31,2.1351,3.0903,1.6397,21.02,43.15,2.9759,4.2518
,Feb,1,2.1377,3.089,1.6388,21.01,43.13,2.9839,4.2477
,,2,2.1421,3.0862,1.6378,21,43.1,2.9805,4.2491
,,3,2.1327,3.085,1.6375,20.99,43.09,2.9821,4.2459
,,4,2.124,3.0809,1.6381,21,43.11,2.992,4.2559
,,7,2.0998,3.0648,1.6367,20.98,43.07,2.9993,4.2756
,,8,2.0998,3.0557,1.6453,21.09,43.3,3.0002,4.2846
,,11,2.1277,3.0868,1.6521,21.18,43.48,3.0153,4.2839
,,14,2.1278,3.0881,1.6445,21.09,43.28,3.0112,4.2798
,,15,2.128,3.0974,1.6426,21.06,43.23,3.0053,4.2747
,,16,2.1355,3.1069,1.6404,21.03,43.17,2.9885,4.2677
,,17,2.1408,3.0945,1.6413,21.04,43.19,2.9921,4.2587
,,18,2.1449,3.1078,1.641,21.04,43.18,3.0019,4.259
,,21,2.1386,3.1018,1.639,21.01,43.13,2.9914,4.2494
,,22,2.1461,3.1063,1.6336,20.94,42.99,2.9832,4.2453
,,23,2.1549,3.1063,1.628,20.87,42.84,2.9785,4.2435
,,24,2.1548,3.1078,1.6277,20.87,42.83,2.9765,4.2371
,,25,2.1549,3.1192,1.6328,20.93,42.97,2.982,4.2488
,,28,2.159,3.1274,1.6266,20.85,42.81,2.9734,4.2437
,Mar,1,2.1437,3.1187,1.6247,20.83,42.76,2.9683,4.2431
,,2,2.1389,3.114,1.6241,20.82,42.74,2.9667,4.2355
,,3,2.1373,3.112,1.6275,20.87,42.83,2.9674,4.2326
,,4,2.1371,3.1085,1.6302,20.9,42.9,2.9732,4.2326
,,7,2.1527,3.1251,1.6264,20.85,42.8,2.9678,4.2331
,,8,2.148,3.1106,1.6236,20.82,42.73,2.969,4.2352
,,9,2.1637,3.1264,1.6218,20.79,42.68,2.9777,4.2328
,,10,2.1732,3.1194,1.6177,20.74,42.57,2.9834,4.226
,,11,2.1784,3.1212,1.6225,20.8,42.7,2.993,4.2335
,,14,2.1787,3.115,1.6197,20.77,42.62,3.0029,4.2284
,,15,2.169,3.1094,1.6231,20.81,42.71,2.9985,4.2323
,,16,2.1585,3.1042,1.623,20.81,42.71,3.005,4.2183
,,17,2.1761,3.1238,1.6235,20.81,42.72,3.009,4.2152
,,18,2.1727,3.1231,1.6242,20.82,42.74,2.9958,4.2176
,,21,2.159,3.116,1.6288,20.89,42.86,3.0018,4.2246
,,22,2.1512,3.1004,1.6339,20.95,43,3.0174,4.2291
,,23,2.1436,3.0919,1.6387,21.01,43.12,3.0236,4.2381
,,24,2.1363,3.077,1.6448,21.09,43.28,3.0347,4.243
,,28,2.1295,3.0724,1.6491,21.14,43.4,3.0324,4.2155
,,29,2.1337,3.0826,1.6492,21.14,43.4,3.02,4.2055
,,30,2.1384,3.1023,1.6518,21.18,43.47,3.0156,4.1892
,,31,2.1329,3.101,1.6498,21.15,43.42,3.0125,4.2119
,Apr,1,2.1476,3.1268,1.6577,21.25,43.62,3.0177,4.2271
,,4,2.1455,3.125,1.6635,21.33,43.78,3.0353,4.2221
,,5,2.1381,3.1304,1.6677,21.38,43.89,3.0419,4.2092
,,6,2.1349,3.1198,1.6587,21.27,43.65,3.0357,4.204
,,7,2.1359,3.1201,1.658,21.26,43.63,3.0238,4.1779
,,8,2.1285,3.1032,1.66,21.28,43.68,3.04,4.1898
,,11,2.1424,3.1213,1.6573,21.25,43.61,3.0395,4.1788
,,12,2.1358,3.112,1.6459,21.1,43.31,3.0373,4.1505
,,13,2.1224,3.1115,1.6437,21.08,43.26,3.0405,4.1576
,,14,2.1262,3.1191,1.651,21.17,43.45,3.0433,4.1681
,,15,2.124,3.119,1.6589,21.27,43.66,3.0376,4.1707
,,18,2.1368,3.1323,1.6579,21.26,43.63,3.0303,4.1724
,,19,2.1507,3.1449,1.6523,21.19,43.48,3.0301,4.182
,,20,2.1557,3.1622,1.649,21.14,43.39,3.0374,4.1869
,,21,2.1594,3.1646,1.6489,21.14,43.39,3.0297,4.1829
,,22,2.1503,3.1468,1.6495,21.15,43.41,3.033,4.1749
,,25,2.1436,3.1474,1.6471,21.12,43.34,3.0386,4.181
,,26,2.1435,3.1509,1.6475,21.13,43.36,3.031,4.1735
,,27,2.1399,3.1419,1.6497,21.15,43.41,3.03,4.167
,,28,2.1287,3.1356,1.6465,21.11,43.33,3.025,4.1591
,,29,2.1276,3.1454,1.6474,21.12,43.35,3.0267,4.1526
,May,3,2.1031,3.1023,1.6384,21.01,43.12,3.0251,4.141
,,4,2.1223,3.1136,1.6378,21.02,43.1,3.0279,4.1511
,,5,2.1192,3.1135,1.6378,21.01,43.1,3.0332,4.1453
,,6,2.1198,3.1145,1.6377,21.02,43.1,3.0342,4.1529
,,9,2.1039,3.1001,1.6431,21.08,43.24,3.035,4.1592
